Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Periodicity: Week, Applied Time Period: from 1/2008 to 53/2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008 week: 1,2008 week: 2,2008 week: 3,2008 week: 4,2008 week: 5,2008 week: 6,2008 week: 7,2008 week: 8,2008 week: 9,2008 week: 10,2008 week: 11,2008 week: 12,2008 week: 13,2008 week: 14,2008 week: 15,2008 week: 16,2008 week: 17,2008 week: 18,2008 week: 19,2008 week: 20,2008 week: 21,2008 week: 22,2008 week: 23,2008 week: 24,2008 week: 25,2008 week: 26,2008 week: 27,2008 week: 28,2008 week: 29,2008 week: 30,2008 week: 31,2008 week: 32,2008 week: 33,2008 week: 34,2008 week: 35,2008 week: 36,2008 week: 37,2008 week: 38,2008 week: 39,2008 week: 40,2008 week: 41,2008 week: 42,2008 week: 43,2008 week: 44,2008 week: 45,2008 week: 46,2008 week: 47,2008 week: 48,2008 week: 49,2008 week: 50,2008 week: 51,2008 week: 52,2009 week: 1,2009 week: 2,2009 week: 3,2009 week: 4,2009 week: 5,2009 week: 6,2009 week: 7,2009 week: 8,2009 week: 9,2009 week: 10,2009 week: 11,2009 week: 12,2009 week: 13,2009 week: 14,2009 week: 15,2009 week: 16,2009 week: 17,2009 week: 18,2009 week: 19,2009 week: 20,2009 week: 21,2009 week: 22,2009 week: 23,2009 week: 24,2009 week: 25,2009 week: 26,2009 week: 27,2009 week: 28,2009 week: 29,2009 week: 30,2009 week: 31,2009 week: 32,2009 week: 33,2009 week: 34,2009 week: 35,2009 week: 36,2009 week: 37,2009 week: 38,2009 week: 39,2009 week: 40,2009 week: 41,2009 week: 42,2009 week: 43,2009 week: 44,2009 week: 45,2009 week: 46,2009 week: 47,2009 week: 48,2009 week: 49,2009 week: 50,2009 week: 51,2009 week: 52,2009 week: 53,2010 week: 1,2010 week: 2,2010 week: 3,2010 week: 4,2010 week: 5,2010 week: 6,2010 week: 7,2010 week: 8,2010 week: 9,2010 week: 10,2010 week: 11,2010 week: 12,2010 week: 13,2010 week: 14,2010 week: 15,2010 week: 16,2010 week: 17,2010 week: 18,2010 week: 19,2010 week: 20,2010 week: 21,2010 week: 22,2010 week: 23,2010 week: 24,2010 week: 25,2010 week: 26,2010 week: 27,2010 week: 28,2010 week: 29,2010 week: 30,2010 week: 31,2010 week: 32,2010 week: 33,2010 week: 34,2010 week: 35,2010 week: 36,2010 week: 37,2010 week: 38,2010 week: 39,2010 week: 40,2010 week: 41,2010 week: 42,2010 week: 43,2010 week: 44,2010 week: 45,2010 week: 46,2010 week: 47,2010 week: 48,2010 week: 49,2010 week: 50,2010 week: 51,2010 week: 52,2011 week: 1,2011 week: 2,2011 week: 3,2011 week: 4,2011 week: 5,2011 week: 6,2011 week: 7,2011 week: 8,2011 week: 9,2011 week: 10,2011 week: 11,2011 week: 12,2011 week: 13,2011 week: 14,2011 week: 15,2011 week: 16,2011 week: 17,2011 week: 18,2011 week: 19,2011 week: 20,2011 week: 21,2011 week: 22,2011 week: 23,2011 week: 24,2011 week: 25,2011 week: 26,2011 week: 27,2011 week: 28,2011 week: 29,2011 week: 30,2011 week: 31,2011 week: 32,2011 week: 33,2011 week: 34,2011 week: 35,2011 week: 36,2011 week: 37,2011 week: 38,2011 week: 39,2011 week: 40,2011 week: 41,2011 week: 42,2011 week: 43,2011 week: 44,2011 week: 45,2011 week: 46,2011 week: 47,2011 week: 48,2011 week: 49,2011 week: 50,2011 week: 51,2011 week: 52,2012 week: 1,2012 week: 2,2012 week: 3,2012 week: 4,2012 week: 5,2012 week: 6,2012 week: 7,2012 week: 8,2012 week: 9,2012 week: 10,2012 week: 11,2012 week: 12,2012 week: 13,2012 week: 14,2012 week: 15,2012 week: 16,2012 week: 17,2012 week: 18,2012 week: 19,2012 week: 20,2012 week: 21,2012 week: 22,2012 week: 23,2012 week: 24,2012 week: 25,2012 week: 26,2012 week: 27,2012 week: 28,2012 week: 29,2012 week: 30,2012 week: 31,2012 week: 32,2012 week: 33,2012 week: 34,2012 week: 35,2012 week: 36,2012 week: 37,2012 week: 38,2012 week: 39,2012 week: 40,2012 week: 41,2012 week: 42,2012 week: 43,2012 week: 44,2012 week: 45,2012 week: 46,2012 week: 47,2012 week: 48,2012 week: 49,2012 week: 50,2012 week: 51,2012 week: 52
Afghanistan, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,53,31,0,20,4,0,1,7,1,0, ,2,3,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Albania, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,1,3,13,21,18,10,21,10,1,0,2,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,2,3,0,2,5,1,3,7,4,7,4,0,0,0,2,1,2,13,25,5,17,53,93,70,0,93,49, ,37,16,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,1,9,11,21,9,15,13,18,36,56,13,11,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,5,9
Angola, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0, ,0,0,2,0,0,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , 
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,127,17,32,525,702,"2,125","3,092","1,485",667,216,137,89,65,75,53,12,20,9,9,3,5,9,3,2,2,6,9,3,3,7,2,2, ,1,5,4,1,1,0,0,0,0,0,0,2,1,0,1,0,0,4,5,0,0,1,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,6,12,20,33,29,15,10,3,6,3,2,7,5,2,10,12,22,15,2,8,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,3,20,18,31,29,36,52,61,77,69,46,39,13,14,6,4,3,0,0,1,0,0,0,0,0,0
Armenia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,69,71,80,128,456,636,751,558,579,474,175,128,109,57,28,26,17,16,5,2,4,4,5,3,4,6,4,3,0,0,2,1,0,0,1,1,0,2,1,0,1,1,0,0,1,2,1,0,0,1,2,2,0,2,7,16,13,14,13,26,29,20,36,49,51,47,30,62,46,41,20,25,26,18,11,5,5,3,3,2,4,3,3,7,3,3,3,1,11,5,5,4,1,1,4,1,0,2,1,2,1,2,1,1,3,7,11,11,16,46,42,60,49,67,58,51,61,47,46,57,47,20,16,14,2,4,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,1,2,0,2,0,0,0,3,3,1,1,1,2,1,2,1,1,2,5,11,4,7,5,9,6,3,6,4,1,2,0,0,0,2,0,0,0,0,1,0,2,3,0,2,1
Austria, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,10,35,81,99,156,110,70,46,33,13,14,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Azerbaijan, , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,6,1,2,5,2,1,4,2,5,3,3
Bangladesh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,3,1,5,4,6,5,11,8,5,9,9,7,10,3,8,3,6,8,10,7,12,11,13,5,18,12,4,5,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,6,21,11,33,26,24,24,23,16,9,19,10,10,5,4,5,0,1,5,4,2,1,3,4,0,1,10,7,10,0,11,2,6,4,8,2,3,2,0,1,0,0,1,1
Belarus, , ,0,0,0,0, , ,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , ,0,0,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , ,0,0,0,0,0,0,1,0,0,0,9,14,60,143,122,167,164,88,74,41,16,4,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,17,61,16,7,14,15,14,18,7,5,10,15,22,46,85,178,285,164,150,114,74,37,34,29,21,10,3,2,7,5,2,2,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0, , , ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,11,14,25,36,39,43,39,29,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , ,0, , , , ,0,0,0,0,0,2,0,0,0,3,3,2,2
Bhutan, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,2,8,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,2,0,0,0, ,1,2,1,2,0,8,2,1,0,0,0,0,0,0,0,0,0,1,4,1,2,15,2,15,13,6,1,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0
Bolivia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,9,24,79,105,59,31,22,15,7,5,5,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,2,1,2,3,4,20,12,8,18,9,62,94,357,69,84,53,36,52,21,9,7,0,1,5,3,2,1,0,0,0,1,1,6,5,8,12,23,16,15,17,5,12,7,14,10,16,58,116,179,184,116,79,69,16,8,10,5,4,8,3,1,2,0,1,0,3,1,0,3,2,0,0,0,0,0,0,0,0
Bosnia and Herzegovina, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,34,52,51,72,70,71,43,14,17,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,12,17,0,85,322,70,16,36,51,35,49,79,81,79,114,81,47,53,40,38,49,44,26,30,33,23,18,16,4,5,5,11,3,16,28,14,11,14,12,13,59,83,76,56,46,31,37,17,15,15,8,6,5,7,6,10,15,12,5,5,1,4,0,0,0,0,0,0,0,1,1,0,0,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,1,7,6,2,11,12,10,21,14,14,11,11,12,7,0,4,1,2,2,2,3,4,9,6,3,17,3,3,7,18,9,4,3,0,0,2,4,4,7,4,6,5,5,13,15,23,23,9,7,6,9,20,5,11,18,14,31,11,29,51,54,57,58,53,48,29,9,11,14,5,4,6,2,7,2,7,14,2,4,3,1,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,0,0,6,4,3,7,11,3,10,10,9,0,1,2,4,4,12,24,19,33,137,193,145,92,22,19,16,12, , ,2, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, ,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,7, ,3,2,2,4,12,13,24,16,32,24,36,47,37,13,36,12,21,13,14,10,5,2, ,3,6,2,1,0,1,1,2,2,0,1,7,0,0,0,0,0,0,0,0,0,0,1,2,1,10,13,15,22,16,9,6,5,4,3,8,37,26,37,24,19,21,24,18,9,6,11,3,6,5,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,2,1,1,2,5,1,5,6,3,2,5,3,9,7,8,8,21,19,5,19,24,6,41,41,45,35,14,13,6,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,2,1,1,2,2,1,1,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0, , , , , , , , , , , , ,0,0,0, ,1,0,0,0,3,6,1,4,2,2,2,5,3,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,4,16,18,18,24,20,13,5,4,0,3,3,7,5,7,1,2,1,4,3,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,4,5,4,4,3,9,2,6,8,11,4,9,5,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,280,65,509,"1,917","1,768",697,456,431, , , , , , , ,56,38,98,164,214,269,"1,335","3,822","7,106","7,255","6,247","3,859","1,813",696,263,114,39,28,29,12,7,7,7,3,3,5,1,4,7,3,4,3,0,2,4,1,0,1,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,5,15,15,29,44,76,98,55,94,95,90,79,66,76,54,35,23,13,17,3,3,4,2,1,2,2,1,2,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,8,9,9,27,24,31,37,49,110,89,109,98,83,50,52,38,32,21,14,13,2,13,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3, ,1,0,0,6,5,3,4,14,18,1,18
