Influenza Virological Surveillance -> Guest user -> Number of influenza viruses detected -> A(H1N1)pdm09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,3,0,0,1,1,1,5,21,4,1,11,8,7,4,4,6,7,0,2,1,9,11,6,4,2,1,2,1,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Central African Republic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,109,261,279,257,353,511,614,652,494,160,78,45,16,8,8,7,1,0,1,4,0,2,0,3,3,4,7,2,10,0,2, , ,3,0,0,0,0,0,1,3,0,4,0,2,5,2,3,3,6,12,9,6,7,11,13,24,20,31,40,45,33,36,34,51,64,46,52,19,7,13,3,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,2,0,2,0,1,0,0,0,4,7,4,8,9,17,15,48,70,71,82,83,101,81,64,51,31,19,11,13,8,3,3,3,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,16,15,29,220,378,258,317,562,901,"1,391",25,"1,496","2,124","2,631","2,710","4,142","4,242","5,383","2,027","1,097","1,901","2,271","3,028","4,394","2,896","5,087","3,808","3,007","3,511","2,812","2,268","1,678","1,218",927,638,459,299,180,71,102,189,209,159,153,97,51,47,40,36,40,51,27,28,22,31,15,24,32,55,66,77,60,92,110,69,72,59,42,25,29,16,25,12,22,43,8,5,13,21,25,22,42,127,203,455,859,"1,399","1,653","1,261","1,308","1,198",796,604,386,182,77,48,15,16,11,8,1,1,1,0,0,3,3,0,0,5,5,3,2,1,5,2,0,3,3,3,2,1,4,3,2,0,3,1,10,3,0,1,7,15,0,1,2,2,4,1,5,12,3,3,5,13,5,8,10,13,13,16,11,3,5,3,5,2,0,4,4,2,2,2,4,2,0,0,1,0,3,1,0,0,3,2,1,0,1,3,2,10,1,12,39,70,38
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,7,3,4,11,16,30,32,30,45,36,24,15,40,41,55,60,95,178,198,194,190,155,80,56,44,51,53,59,43,7,11,17,14,28,36, ,33,36,14,9,7,6,7,5,4,4,9,1,4,2,8,5,7,1,7,6,13,35,31,19,27,25,21,25,14,13,15,9,6,14,3,10,13,7,10,7,1,1,0,4,4,14,11,1,8,5,5,7,5,4,0,2,3,1,0,3,1,2,1,2,1,4,2,3,6,3,15,14,26,17,18,23,13,16,14,25,24,12,8,14,3,5,12,2,1,1,2,1,5,5,0,3,2,6,5,5,5,6,12,15,21,7,6,11,7,7,3,1,1,1,0,0,0,15,23,4,0,4,4,4,3,4,2,3,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,8,0
Congo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48,28,20,19,8,13,9,85,15,19,13,14,9,20,19,12,3,14,14,17,19,50,56,36,65,46,24,15,25,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,5,5,3,1,8,2,5,0,7,4,7,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,2,3,0,0,0,0,1
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,1,6,19,21,8,14,9,16,19,39,36,12,6,8,2,5,27,65,133,138,325,257,162,69,30,23,31,24,8,12,4,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,131,131,211,257,280,198,124,116,83,37,48,16,6,3,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,2,0,0
Cuba, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,8,26,42,40,46,40,32,32,34,22,19,46,20,3,10,13,110,71,104,51,47,48,26,12,15,11,7,1,2,0, ,5,4,3,3,7,5,4,15,10,10,21,35,66,83,93,61,61,59,71,42,42,17,30,9,25,5,11,8,3,8,11,10,14,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,2,0,0,3,1,0,2,3,3,0,1,5,2,4,1,6,1,1,8,4,6,7,0,2,2,6,5,5,8,3,0,2, 
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0, , , , , , , , , , , , ,0,0,0,0,0,1,0,2,1, , , , , , , , , , , , ,4, ,0,4, ,5,17,45,90,85,89,186,126,125,75, , , ,23, , , , , , ,0,1,0, ,0,0,0,0,0,1,0,0, , , , , , , , , ,0, , , , , , , , , , , ,0,0,2,7, ,0, , , , ,2,8,5,17,23,32,39,29,23,12,13,4,5,2,0,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, , ,0,1,3,0, ,0,0,1,0,0,0,0,0,1,0,0,1,0,0, ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,0,0, ,0,0,0,2,0, ,0,3,9,8
Côte d'Ivoire , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , ,0,1,0,0,1,1,0,1,1,2,2,18,4,3,0,1,0,0,0,0,0,3,0,2,0,1,0,0,1,0,0,1,4, ,0,1,0,1,0,0,1, ,2,2,2,0,1,0, , , , ,0,0,1,0,0,0,4,1,0, , , , , , , , , , ,0,3,1,6,9,8,3,15,11,9,0,4,2,0,4,9,0,2,1,0,2,0,26,9,1,3, , , , , , , ,0,2,8,2,1,6,18,9,2,6,14,3,0,0,0,0,0,2,0,1,0,0,0,2,0,3,2,4,6,4,3,2,0,1,0,0,0,0,0,1,1,2,1,1,3,0,1,0,0,1,2,1
Democratic Republic of the Congo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,3,3,7,4,6,3,6,6,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,5,10,14,18,5
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,0,0,1,7,0,17,19,18,18,88,88,114,79,57,59,19,20,17,21,3,8,19,38,51,219,306,392,168,126,70,71,24, ,17,8,2,3,4,6,1,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,7,12,10,42,79,88,63,30,52,24,14,13,4,5,6,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, , ,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,2,5,6,8,4,2,0,4,7,13,7,6,14,6,0,1,1,0,1,1,1,0,1,0,0,1,6,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,3,0,1,0,0,0,0,1,1,2,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0, ,0,0, , , , , ,0,1,24,17,19,25,5,42,75,132,125,137,91,54,85,100,46,75,47,67,75, , , , , , , , , ,36,24, , , ,18,22,40,37,44,36,31,37,25,28,15,6,2,4,2,1,4,3,0,5,2,1,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , , , , , ,0,0,0,0,4,25,27,85,59,32,26,19,13,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,1,1,3,3,4,6,3,7,1,7,9,7,3,4,5,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Egypt,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,17,22,17,15,18,69,80,88,111,116,132,31,24,10,36,31,36,38,81,113,470,835,337,331,330,582,869,948,586,735,387,192,77,52,44,25,11,6,6,3,3,5,3,2,2,2,9,2,1,0,3,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,14,19,20,19,40,72,142,364,510,458,284,157,66,2,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,1,1
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,21,19,34,69,102,44,62,67,57,81,52,49,17,6,12,7,11,3,6,4,10,9,14,5,7,0, , , , , , , , ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,1,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,6,1,3,3,4,13,5,11,9,28,22,28,17,20,19,2,2,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,8,0,2,7,12,6,10,6,1,4,3,2,2,0,0,0,0,2,16,63,69,72,92,127,80,106,59,34,35,24,20,9,11,12,2,2,2,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,4,20,73,115,123,64,70,36,20,36,13,2,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiopia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,2,7,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,0,0,0,0,0,0,0,0,0,0,1,0,2,6,4,0,3,0,0,3,2,2,1,2,0,0,4,4,2,0,0,0,2,0,0,1,3,2,5,10,6,6,18,0,21,18,10,8,3,3,5,3
Fiji, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,52,93,46,2,3,3,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,4,8,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0, ,0,0, ,0,0,0,0, , , , ,0, , ,0,0, ,0, , ,0,0, ,0,0,0, , , , , , , , , , , , , , , , , , , , 
Finland,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,14,15,5,2,0,4,34,24,37,85,74,37,10,5,0,2,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,6,13,59,24,9,8,24,43,29,9,17,10,6,4,1,2,0,0,0,0, ,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,10,16,11,10,16,17,9,23,15,10,16,23,35,45,33,108,67,114,108,242,284,721,"1,308","1,346","1,853","3,509","3,877","3,426","2,666","1,551","1,028",637,248,137,89,41,26,15,13,4,7,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,5,14,29,53,98,168,275,286,261,281,275,206,180,95,61,26,14,7,3,3,1,1,0,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,3,3,3,7,8,18,26,22,10,12,8,9,7,7,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,3,4,6,11,23,46,74
French Guiana,0,0, ,0,0, ,0, ,0,0,0,0, , , ,0,0, ,0, ,0, ,0, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,14,25,25,49,21,22,26,5,3,14,12,7,2,3,1,6,1,2,1,7,1,2,9,3,4,2,1,0,3,1,0,0,0,0,0,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,1,1,1,2,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,9,10,14,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1
Gambia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Georgia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0, ,0,0,0,0,0,0,0,0,1,1,10,1,0,1,2,4,1,0,1,0,0,2,3,3,17,26,62,76, ,253,296,153,63,62,35, ,15,4,7,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,11,74,100,93,61,54,42,15,13,8,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,5,3,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,3,10,24,76,58,41,18,42,71,110,69,24,13,18,8,3,7,6,3,4,10,15,34,68,186,226,199,111,93,96,75,37, ,25,24,18, , , , , ,3,7,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,2,0,1,14,11,27,54,129,140,160,185,162,94,57,47,28,19,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,9,10,4
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,2,2,2,0,0,0,0,1,0,3,9,16,9,2,0,0,0,1,0,0,0,0,0,0,1,15,16,15,61,125,194,116,79,44,17,4,13,22,14,20,39,22,24,9,14,23,20,7,4,4,1,30,21,0,2,0,2,0,0,1,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,1,2,6,1,8,11,14,5,18,1,4,2,3,1,7,9,3,3,4,2,7,3,2,3,1,0,0,2,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,3,0,0,0,1,4,3,10,15,24,14,27,27,23,33,16,12,5,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,37,46,156,246,147,363,280,227,190,117,77,32,18,33,35,38,45,52,91,161,714,"1,097","1,165",852,68,58,472,466,356,198,117,69,103,81,55,38,18,19,14,9,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,273,599,994,"1,287","1,072",498,231,129,82,26,11,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe, , , ,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,13,8,9,10,25,39,24,48,25,23,18,8,16,7,3,4,0,3,2,1,0,1,0,2,0,1,0, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,3,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
